
2024/06/22 (00:56:09) | ===> btop++ v.1.3.2
2024/06/22 (00:56:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/22 (00:56:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/22 (10:42:22) | ===> btop++ v.1.3.2
2024/06/22 (10:42:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/22 (10:42:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/22 (13:46:09) | ===> btop++ v.1.3.2
2024/06/22 (13:46:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/22 (13:46:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/22 (13:46:20) | ===> btop++ v.1.3.2
2024/06/22 (13:46:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/22 (13:46:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/23 (08:52:23) | ===> btop++ v.1.3.2
2024/06/23 (08:52:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/23 (08:52:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/23 (18:26:57) | ===> btop++ v.1.3.2
2024/06/23 (18:26:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/23 (18:26:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/24 (20:05:32) | ===> btop++ v.1.3.2
2024/06/24 (20:05:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/24 (20:05:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (21:12:17) | ===> btop++ v.1.3.2
2024/07/10 (21:12:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (21:12:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/10 (22:34:41) | ===> btop++ v.1.3.2
2024/07/10 (22:34:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/10 (22:34:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/11 (09:30:04) | ===> btop++ v.1.3.2
2024/07/11 (09:30:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/11 (09:30:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/12 (09:30:27) | ===> btop++ v.1.3.2
2024/07/12 (09:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/12 (09:30:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (11:15:19) | ===> btop++ v.1.3.2
2024/08/04 (11:15:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/04 (11:15:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/04 (13:38:46) | ===> btop++ v.1.3.2
2024/08/04 (13:38:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/04 (13:38:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/06 (08:40:28) | ===> btop++ v.1.3.2
2024/08/06 (08:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/06 (08:40:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (15:30:37) | ===> btop++ v.1.3.2
2024/08/07 (15:30:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (15:30:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/07 (17:00:30) | ===> btop++ v.1.3.2
2024/08/07 (17:00:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/07 (17:00:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/08 (05:26:15) | ===> btop++ v.1.3.2
2024/08/08 (05:26:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/08 (05:26:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/09 (23:59:28) | ===> btop++ v.1.3.2
2024/08/09 (23:59:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/09 (23:59:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/12 (16:01:25) | ===> btop++ v.1.3.2
2024/08/12 (16:01:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/12 (16:01:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported
